Proteins,ECC,GO,SubCell
YJR063W,9.199679487,49.91468254,80
YKR025W,8.066220914,91,0
YHR059W,9.943774655,73,6
YNL244C,6.444301925,108.3452381,0
YOR270C,10.06125117,68.79361472,0
YMR054W,9.963235294,69.29047619,0
YNL030W,6.111801648,111.8621579,0
YKL003C,12.84720475,52.83333333,0
YBL023C,14.20331547,47.53102643,0
YML010W,6.310303912,106.95,0
YDL185W,7.435842589,90.3297619,0
YEL032W,16.0976567,41.65440305,0
YDR460W,7.260108136,92,20
YMR310C,5.880360569,112.0841492,0
YNR037C,13.14097811,50.08333333,0
YDR377W,10.48140862,61.5,0
YDL004W,10.48140862,61.5,0
YBR084W,5.929581324,107.3595238,0
YIR021W,10.26428571,61.91666667,0
YLR277C,6.137489761,103.3928571,36
YPL271W,10.29569434,61.5,0
YDL184WB,10.30371148,61.35194805,0
YEL027W,10.30371148,61.35194805,0
YBR202W,14.77947489,41.65440305,0
YLR115W,6.091270505,101,36
YNL248C,12.74827533,48.02579365,0
YHR039CA,9.963235294,61.35194805,0
YGR104C,6.59312479,92.28571429,12
YBR120C,10.26428571,59.08333333,0
YHR026W,9.745098039,61.35194805,0
YDR145W,7.01360273,84.37474747,54
YPL078C,9.731240981,60.15,0
YNL189W,2.986842105,195.2305556,0
YGL201C,13.1881175,43.87940305,0
YOL139C,3.990641139,144.825,0
YOL142W,6.995413277,82.38095238,0
YPR175W,12.51393728,45.98623263,0
YGR195W,6.330781164,36.52473082,90
YGR274C,7.09853113,80.11584167,0
YDR201W,2.66729798,22.33333333,212
YER148W,5.987315563,93.94772384,56
YDR280W,7.246875265,77.58730159,50
YLR103C,14.40402034,38.94606972,0
YGR095C,6.229482798,73,90
YPR020W,9.604333812,57.55,2
YDR308C,5.247789143,105.2261905,20
YPR190C,12.26885966,44.48412698,0
YDL045WA,12.84720475,42.16666667,0
YDL181W,8.483766234,63.66666667,2
YBR039W,8.683766234,62.15,0
YGR215W,8.300172394,65,2
YGL070C,3.548387097,147.1285714,36
YJL194W,7.732149783,67.26103896,0
YDR405W,11.04590767,46.33333333,0
YLR071C,6.775884958,75.2973138,0
YDR322CA,11.72069434,43.47380952,0
YOL094C,7.546718077,67.30119048,0
YJR121W,10.38376623,47.97857143,0
YJL011C,6.166837548,40.75,80
YDL150W,10.35097016,47.35912698,0
YBL099W,10.1528372,48.28333333,0
YKL099C,6.277014905,75.62301587,0
YGL019W,4.957688528,95.39285714,0
YPL029W,10.39615385,45.15952381,0
YHR107C,4.256493506,45.91073926,110
YLR347C,3.889606049,119.9853175,0
YJR043C,13.4800737,33.85051834,0
YOL077WA,10.48140862,43.47380952,0
YML081CA,10.48140862,43.47380952,0
YDL102W,13.4504203,33.85051834,0
YLR418C,5.994568518,75.13214286,0
YJR101W,10.33485466,43.5,0
YGR186W,5.637489449,76.38690476,0
YDR156W,5.233246118,80,0
YGR222W,9.421428571,44.23452381,0
YNL290W,7.37549959,56.45,0
YDR167W,5.49661451,74.12439782,0
YMR227C,6.090788876,66.26884227,0
YBR087W,5.846843615,68.95238095,0
YFL028C,8.345376575,47.50595238,0
YMR153W,2.400383142,26.04404762,164
YLR438CA,5.176495354,75.16426483,0
YDR194C,9.998621554,37.98214286,0
YLR382C,10.39615385,35.89880952,0
YBR217W,2.215119048,25.43333333,168
YCR093W,5.672210228,62.82380952,0
YMR287C,9.921428571,35.89880952,0
YOR334W,9.921428571,35.89880952,0
YMR023C,9.921428571,35.89880952,0
YHR069C,6.459021328,54.58528139,0
YNL025C,5.797437244,59.89285714,0
YOR217W,6.544322607,52.98571429,0
YMR061W,5.395152971,63.89642857,0
YGR083C,5.333965866,64.33333333,0
YKR008W,5.176932616,65.83333333,44
YGL198W,5.162407572,65.94488048,0
YNR052C,5.18946642,65.45952381,0
YDR041W,8.550857466,39.33333333,0
YJL138C,2.712284958,123.6666667,0
YBR143C,3.671933403,90.75,0
YIL106W,5.94076087,55.31428571,0
YHR166C,6.615248596,49.6,0
YKL173W,2.431248919,134.0178571,0
YPR034W,6.555870015,49.67222222,0
YHR041C,3.95862264,82.23342491,0
YHR005CA,8.571428571,37.89880952,0
YGR063C,4.255974688,76.31190476,0
YLR423C,2.910714286,106.8923077,0
YOR213C,4.699449676,66.2,58.5
YGR092W,7.559839817,40.80119048,0
YKL022C,7.607017544,40.2,0
YER025W,6.202765948,48.88744589,0
YPR041W,4.998938632,59.79606782,0
YDR301W,5.840557528,50.6,0
YOL051W,5.649903604,52.2781746,0
YLR005W,5.769036227,51.17142857,2
YLR291C,3.944300361,73.26666667,0
YGL161C,2.908695652,98,0
YLR102C,6.612145749,43,0
YGR268C,1.883397808,149,0
YFR037C,6.054112554,46.17348188,0
YGL129C,6.712124476,41.33333333,6
YDR238C,5.576027722,49.33333333,17.33333333
YPL151C,2.856537538,93.5,0
YDL044C,7.428571429,35.89880952,0
YOR308C,2.58360095,101.0218254,0
YDR225W,4.592567827,50.73333333,56
YLR078C,4.501538462,56.79761905,0
YLR268W,4.494871795,56.10515873,0
YJR093C,5.41378528,46.5,36
YER179W,4.406016714,57.11746032,0
YOR249C,7.465991903,33.33333333,0
YPL010W,4.47067207,54.75,17.33333333
YGR056W,4.63855224,42.46666667,52.5
YHR061C,3.788286894,64.05357143,0
YIR008C,4.112489286,59,0
YCR052W,4.709794184,51.46666667,0
YDL145C,5.103436424,46.83928571,10.11111111
YHR117W,5.536363636,42.5,0
YNL287W,4.83192956,48.36904762,0
YPL256C,3.185990338,73.34761905,0
YPL124W,2.805340446,82.9,10.25
YDL134C,3.7002849,62,0
YKL142W,7.966344113,28.66666667,0
YIL126W,5.144015446,32.15098039,44
YGR119C,2.77073002,81.33333333,8.25
YPR056W,4.507256852,48.91428571,2
YIL004C,6.401879699,34.24801587,0
YML032C,4.731244019,45.61298701,0
YDL165W,4.782224583,44.94761905,0
YMR199W,2.916149068,73.23333333,0
YIL143C,6.43476874,32.93789683,0
YML064C,2.5,83.79761905,0
YIL076W,5.339298661,39.20039683,0
YDL225W,3.23349738,28.16363636,64
YER070W,2.366341991,87,0
YOR001W,3.894035724,21.50823898,52.5
YER022W,1.625,125.7427961,0
YDL111C,6.395543138,31.41669442,0
YMR109W,5.409964133,36.82431457,0
YLR288C,2.19532504,90.66666667,0
YJR076C,4.363636364,33.68023741,44
YFR006W,1.631840884,117.5,0
YOR250C,5.262401479,35.6,36
YMR033W,4.875361545,38.35947712,0
YPR166C,6.499677447,28.66666667,0
YHR075C,6.499677447,28.66666667,0
YKR002W,5.120712667,29.11785714,36
YDR118W,7.465991903,24.6,0
YPR107C,4.385756887,41.76666667,0
YNL236W,3.017748479,60.39285714,6
YJL041W,1.998131868,91,0
YMR203W,5.166666667,34.83333333,2
YDL160C,4.608695652,38.76785714,0
YIR009W,2.544342406,69.5,0
YLR321C,4.164276228,42.40620915,0
YML109W,2.25625,77.65119048,0
YBR088C,3.485294118,10.04166667,50
YLR357W,4.836868091,35.09166667,36
YMR308C,2.684013172,64.31708896,0
YML049C,3.186299393,54.16666667,0
YKR024C,3.103794144,55.06428571,0
YOR065W,5.614141414,29.33333333,0
YPL174C,2.175490196,74.66666667,0
YFR051C,4.423868873,36.27579365,0
YNL243W,4.532127815,35.2736569,0
YFL059W,3.188397129,50,0
YCR081W,5.508851196,28.46840659,0
YLR439W,8.684341828,17.75,0
YNL317W,3.158001181,48.08127706,0
YCR088W,3.074189332,49.33333333,0
YFL039C,3.634160757,41.06871345,0
YJR113C,6.301995475,23.66666667,0
YGL172W,2.909320464,51.19047619,8.25
YOR181W,2.92348074,50.20833333,0
YPR025C,5.334758772,27.35171569,0
YBL084C,8.68265857,16.7952381,0
YNL172W,8.68265857,16.7952381,0
YER068W,4.183093743,34.72619048,0
YDL116W,3.737331002,38.65119048,0
YDR388W,3.735032162,38.51119465,0
YER171W,5.222556391,27.30016278,0
YOR260W,3.693477157,38.51890332,0
YPL122C,5.133587465,27.310831,0
YDR328C,3.379945799,41.06319073,0
YDR228C,4.155527708,33.39404762,0
YHR081W,2.617143572,16.4982684,52.5
YPL248C,3.345267195,41.01388889,0
YGL049C,2.941417502,46.43580031,0
YNL131W,5.493939394,24.51666667,0
YPL042C,4.912698413,27.05238095,0
YJL148W,5.233246118,25.26150794,0
YMR186W,3.290131579,40.17857143,0
YLR108C,1.400207039,91,0
YEL066W,1.567466044,81,0
YAL036C,2.510267877,50.13333333,0
YDL008W,7.465991903,16.7952381,0
YGL240W,7.465991903,16.7952381,0
YLR447C,1.901960784,65.86623377,0
YKL068W,2.08634001,60.02857143,5
YLR127C,7.015991903,17.77619048,0
YPR072W,3.998997284,31.12380952,12
YNL232W,5.367096805,23.14990565,0
YFR049W,6.233851116,19.91666667,0
YOR045W,5.303030303,22.9,0
YDR091C,2.147539769,55.65674603,0
YFR036W,7.015991903,16.7952381,0
YDR335W,4.235123612,27.81748529,0
YDL108W,5.278807129,22.26998133,0
YAL021C,3.47614654,33.69761905,0
YEL024W,5.614141414,20.66666667,2.25
YML012W,3.899087024,29.75,26.25
YLR295C,1.542857143,74.75,0
YLR229C,3.563909774,32.09985847,0
YFL038C,3.500589685,32.09314863,0
YMR060C,5.633585859,19.93809524,0
YPR133WA,5.633585859,19.93809524,0
YKL011C,2,55,0
YJL166W,5.303030303,20.66666667,2.25
YDR529C,5.303030303,20.66666667,4
YMR047C,1.119210526,97.525,10.25
YDR309C,2.205624355,48.89285714,0
YNL070W,4.666666667,22.9,2
YAR007C,3.534375634,30.00484735,10
YAL043C,4.076388189,25.70595238,0
YPL070W,1.366301843,76.3,0
YLR015W,2.734704185,38.1,0
YGR218W,2.824197389,36.41048119,0
YGL137W,4.547517446,22.60714286,10.11111111
YNL121C,5.536363636,18.5,0
YKL045W,4.112489286,24.9047619,0
YGL200C,3.899087024,19.05,26.25
YBR258C,1.988997114,51,0
YLR293C,3.178171502,31.3469697,8
YFR033C,5.614141414,17.6,0
YKL130C,1.963100686,32.33333333,50
YGL044C,3.357142857,29.11547619,0
YOR103C,6.025,16,2
